ID,Nombre,Categoría,Dirección,Latitud,Longitud,Rating,Precio,Teléfono,Website
,Paraiso Del Cafe,Breakfast Spot,"Calle 27 por 54 y 56 (Numero 8-A), 97320 Progreso, Yucatán",21.286306458612195,-89.65099418792872,,,,
,Panadería María Elide,Bakery,"97320 Progreso, Yucatán",21.284474360661964,-89.64965819046506,,,,
,Mr. Machete,Burger Joint,"Progreso de Castro, Yucatán",21.28702178373453,-89.64821311839154,,,,
,Elio Al Mare Ristorante,Italian Restaurant,"Calle 21, Progreso, Yucatán",21.289750302353177,-89.64235841130206,,,,
,Pizza Pop,Pizzeria,"C 68 (29 y 31), 97320 Progreso, Yucatán",21.284107722941037,-89.65656048343696,,,,
,El Haguay,Seafood Restaurant,"Malecon De Progreso, 97320 Progreso, Yucatán",21.288622,-89.653946,,,,
,La Antigua Progreso,Seafood Restaurant,"Calle 21 x 60, 97320 Progreso, Yucatán",21.288295432239263,-89.65372401339754,,,,
,El Pez Gordo,Restaurant,"Malecón, 97320 Progreso, Yucatán",21.288668,-89.654,,,,
,Almadía,Seafood Restaurant,"97320 Progreso, Yucatán",21.28851,-89.655007,,,,
,Retro Burger,Burger Joint,"Parque de la Paz. Calle 19 x 68 y 66. (Av malecon.), 97320 Progreso, Yucatán",21.288514638435018,-89.65596914291382,,,,
,El Toro,Seafood Restaurant,"Calle 25, 97320 Progreso, Yucatán",21.287085633179068,-89.65393932770937,,,,
,Marquesitas,Arepa Restaurant,"Malecón Progreso, Yucatán",21.28851194518243,-89.65689676677374,,,,
,La Balsa,Seafood Restaurant,"97320 Progreso, Yucatán",21.285422,-89.652941,,,,
,Crabster,Seafood Restaurant,"Avenida del Malecón de Progreso Progreso (Yucatán) (74 y 76), 97320 Progreso, Yucatán",21.28814928404625,-89.66057977699936,,,,
,Los Arcos,Seafood Restaurant,"Malecón de Progreso, 97320 Progreso, Yucatán",21.288263471629975,-89.66030078349647,,,,
,La Casa del Pastel,Restaurant,"Calle 19 (Por 50), 97320 Progreso, Yucatán",21.288612,-89.654271,,,,
,Los Mariscos de Chichi,Seafood Restaurant,"97320 Progreso, Yucatán",21.288316,-89.659033,,,,
,Viña del Mar,Seafood Restaurant,"Av. Malecón (Por 59), 97320 Progreso, Yucatán",21.288709737591677,-89.65446459198408,,,,
,Cocina Rikos,Restaurant,"Calle 29, 97320 Progreso, Yucatán",21.28482682109254,-89.65657059040733,,,,
,Sol y Mar,Mexican Restaurant,"Calle 27, 97320 Progreso, Yucatán",21.286363,-89.662287,,,,
,Leña & Mar,Restaurant,"Calle 19 Num 150 (Esquina 74), Progreso, Yucatán",21.288243,-89.660331,,,,
,Mobula Cocina de Mar,Restaurant,"97320 Progreso, Yucatán",21.288233,-89.660215,,,,
,El torito,Food Court,"Avenida el Progreso, 97000 Tizimín, Yucatán",21.28699290329288,-89.65529801722639,,,,
,La casa del malecón,Caribbean Restaurant,"Progreso, Yucatán",21.28858078592681,-89.65491641073899,,,,
,MAYA KA restaurant seafood & drinks,Caribbean Restaurant,"Boulevard Progreso Mérida, Progreso, YUC, Yucatán",21.288053783101095,-89.66083320385972,,,,
,La mojarra blanca,Restaurant,"Calle 35 x 76 col centro progreso yucatan, Yucatán",21.281400804116743,-89.66067745813746,,,,
,Sushi N'Gone,Asian Restaurant,"Calle 29 Esq. 76, 97320 Progreso, Yucatán",21.284406644844207,-89.6612010761082,,,,
,Eladio's,Mexican Restaurant,"Av. Malecón (Por 80), 97320 Progreso, Yucatán",21.287892204334483,-89.66388541362294,,,,
,La Mojarra Blanca 2,Seafood Restaurant,"Calle 68, Yucatán",21.286136558803676,-89.65654302608299,,,,
,Pizzeria RIKO'S,Pizzeria,"Calle 29 ×68, 97320 Progreso, Yucatán",21.284849166870117,-89.65653228759766,,,,
,Krumel,Eastern European Restaurant,"Calle 82 (Por 31 y 33), 97320 Progreso, Yucatán",21.282169526019747,-89.6640352147538,,,,
,Pelicano's Restaurant & Bar,Seafood Restaurant,"Malecon de Progreso., Progreso, Yucatán",21.288370564054418,-89.65811729378298,,,,
,Carabela,Seafood Restaurant,"Malecón de Progreso, Progreso, Yucatán",21.288637,-89.657691,,,,
,Remos,Seafood Restaurant,"Carr. Mérida-Progreso, Progreso, Yucatán",21.273307760242737,-89.66065482572253,,,,
,Milk Bar Progreso,American Restaurant,"Av. Malecón (Entre 72 Y 74), Progreso de Castro, Yucatán",21.28831667270689,-89.6595697666442,,,,
,Lechon Al Horno El Cheel,Mexican Restaurant,"Calle 80, 97320 Progreso, Yucatán",21.28613,-89.662173,,,,
,Galeras,Seafood Restaurant,"97320 Progreso, Yucatán",21.279953755808773,-89.66463328400768,,,,
,"Casa Vieja ""El Arte Del Café""",Breakfast Spot,Yucatán,21.28228374802532,-89.66046301540469,,,,
,El Naranjo,Taco Restaurant,"Calle 27 Local 68 (Por 78 y 80), 97320 Progreso, Yucatán",21.285354369890477,-89.66291927712764,,,,
,Los Autenticos Tommys,Seafood Restaurant,"Av. Malecón (76 y 78), 97320 Progreso, Yucatán",21.28787164307377,-89.6618376802349,,,,
,El Naranjo,Taco Restaurant,"Calle 82A (29 y 31), 97320 Progreso, Yucatán",21.283506780890335,-89.66475700035446,,,,
,Le Saint Bonnet,Seafood Restaurant,"Calle 19 Av. del Malecon (calle 78 por 80), 97320 Progreso, Yucatán",21.2879781713281,-89.6625769717863,,,,
,Los Cocos,Seafood Restaurant,"Av. Malecón, 97320 Progreso, Yucatán",21.28742304479751,-89.66227912006501,,,,
,Restaurante El Pulpo Loco,Seafood Restaurant,"Calle 49 #16-C (malecón De Progreso) (Calle 74 Y Calle 76), 97230 Progreso, Yucatán",21.28813,-89.661093,,,,
,El Sarten Cubano,Caribbean Restaurant,"Boulevard Malecón De Progreso (Calle 76 y 78), 97320 Progreso, Yucatán",21.287994,-89.66225,,,,
,San Marino,Seafood Restaurant,"Progreso, Yucatán",21.288256,-89.66096722,,,,
,The Biggest Rudhy,Taco Restaurant,Yucatán,21.289347,-89.628267,,,,
,Yum Ixpú,Seafood Restaurant,"Calle 31, 97320 Progreso, Yucatán",21.28249272456126,-89.67112734963098,,,,
,El Cordobes,Mexican Restaurant,"Calle 80 (Por 31), 97320 Progreso, Yucatán",21.283304065349487,-89.66308915690226,,,,
,Pulperos Costeños,Seafood Restaurant,"Calle 31 #222-C, 97320 Progreso, Yucatán",21.282530313257535,-89.67112979911724,,,,
